(R, 1)[0] => [[1, 0], [0, 0]]
(L, 4)[0] => [[105, -107], [106, -107]]
(R, 4)[0] => [[106, -107], [106, -107]]
(R, 4)[0] => [[107, -107], [106, -107]]
(R, 4)[0] => [[108, -107], [107, -107]]
(R, 4)[0] => [[109, -107], [108, -107]]
(U, 2)[0] => [[109, -106], [108, -107]]
(U, 2)[0] => [[109, -105], [109, -106]]
(R, 9)[0] => [[110, -105], [109, -106]]
(R, 9)[0] => [[111, -105], [110, -105]]
(R, 9)[0] => [[112, -105], [111, -105]]
(R, 9)[0] => [[113, -105], [112, -105]]
(R, 9)[0] => [[114, -105], [113, -105]]
(R, 9)[0] => [[115, -105], [114, -105]]
(R, 9)[0] => [[116, -105], [115, -105]]
(R, 9)[0] => [[117, -105], [116, -105]]
(R, 9)[0] => [[118, -105], [117, -105]]
(U, 4)[0] => [[118, -104], [117, -105]]
(U, 4)[0] => [[118, -103], [118, -104]]
(U, 4)[0] => [[118, -102], [118, -103]]
(U, 4)[0] => [[118, -101], [118, -102]]
(L, 10)[0] => [[117, -101], [118, -102]]
(L, 10)[0] => [[116, -101], [117, -101]]
(L, 10)[0] => [[115, -101], [116, -101]]
(L, 10)[0] => [[114, -101], [115, -101]]
(L, 10)[0] => [[113, -101], [114, -101]]
(L, 10)[0] => [[112, -101], [113, -101]]
(L, 10)[0] => [[111, -101], [112, -101]]
(L, 10)[0] => [[110, -101], [111, -101]]
(L, 10)[0] => [[109, -101], [110, -101]]
(L, 10)[0] => [[108, -101], [109, -101]]
(D, 7)[0] => [[108, -102], [109, -101]]
(D, 7)[0] => [[108, -103], [108, -102]]
(D, 7)[0] => [[108, -104], [108, -103]]
(D, 7)[0] => [[108, -105], [108, -104]]
(D, 7)[0] => [[108, -106], [108, -105]]
(D, 7)[0] => [[108, -107], [108, -106]]
(D, 7)[0] => [[108, -108], [108, -107]]
(L, 7)[0] => [[107, -108], [108, -107]]
(L, 7)[0] => [[106, -108], [107, -108]]
(L, 7)[0] => [[105, -108], [106, -108]]
(L, 7)[0] => [[104, -108], [105, -108]]
(L, 7)[0] => [[103, -108], [104, -108]]
(L, 7)[0] => [[102, -108], [103, -108]]
(L, 7)[0] => [[101, -108], [102, -108]]
(U, 9)[0] => [[101, -107], [102, -108]]
(U, 9)[0] => [[101, -106], [101, -107]]
(U, 9)[0] => [[101, -105], [101, -106]]
(U, 9)[0] => [[101, -104], [101, -105]]
(U, 9)[0] => [[101, -103], [101, -104]]
(U, 9)[0] => [[101, -102], [101, -103]]
(U, 9)[0] => [[101, -101], [101, -102]]
(U, 9)[0] => [[101, -100], [101, -101]]
(U, 9)[0] => [[101, -99], [101, -100]]
(R, 9)[0] => [[102, -99], [101, -100]]
(R, 9)[0] => [[103, -99], [102, -99]]
(R, 9)[0] => [[104, -99], [103, -99]]
(R, 9)[0] => [[105, -99], [104, -99]]
(R, 9)[0] => [[106, -99], [105, -99]]
(R, 9)[0] => [[107, -99], [106, -99]]
(R, 9)[0] => [[108, -99], [107, -99]]
(R, 9)[0] => [[109, -99], [108, -99]]
(R, 9)[0] => [[110, -99], [109, -99]]
(D, 3)[0] => [[110, -100], [109, -99]]
(D, 3)[0] => [[110, -101], [110, -100]]
(D, 3)[0] => [[110, -102], [110, -101]]
(U, 2)[0] => [[110, -101], [110, -101]]
(U, 2)[0] => [[110, -100], [110, -101]]
(R, 10)[0] => [[111, -100], [110, -101]]
(R, 10)[0] => [[112, -100], [111, -100]]
(R, 10)[0] => [[113, -100], [112, -100]]
(R, 10)[0] => [[114, -100], [113, -100]]
(R, 10)[0] => [[115, -100], [114, -100]]
(R, 10)[0] => [[116, -100], [115, -100]]
(R, 10)[0] => [[117, -100], [116, -100]]
(R, 10)[0] => [[118, -100], [117, -100]]
(R, 10)[0] => [[119, -100], [118, -100]]
(R, 10)[0] => [[120, -100], [119, -100]]
(L, 1)[0] => [[119, -100], [119, -100]]
(U, 3)[0] => [[119, -99], [119, -100]]
(U, 3)[0] => [[119, -98], [119, -99]]
(U, 3)[0] => [[119, -97], [119, -98]]
(L, 4)[0] => [[118, -97], [119, -98]]
(L, 4)[0] => [[117, -97], [118, -97]]
(L, 4)[0] => [[116, -97], [117, -97]]
(L, 4)[0] => [[115, -97], [116, -97]]
(D, 10)[0] => [[115, -98], [116, -97]]
(D, 10)[0] => [[115, -99], [115, -98]]
(D, 10)[0] => [[115, -100], [115, -99]]
(D, 10)[0] => [[115, -101], [115, -100]]
(D, 10)[0] => [[115, -102], [115, -101]]
(D, 10)[0] => [[115, -103], [115, -102]]
(D, 10)[0] => [[115, -104], [115, -103]]
(D, 10)[0] => [[115, -105], [115, -104]]
(D, 10)[0] => [[115, -106], [115, -105]]
(D, 10)[0] => [[115, -107], [115, -106]]
(L, 7)[0] => [[114, -107], [115, -106]]
(L, 7)[0] => [[113, -107], [114, -107]]
(L, 7)[0] => [[112, -107], [113, -107]]
(L, 7)[0] => [[111, -107], [112, -107]]
(L, 7)[0] => [[110, -107], [111, -107]]
(L, 7)[0] => [[109, -107], [110, -107]]
(L, 7)[0] => [[108, -107], [109, -107]]
(D, 6)[0] => [[108, -108], [109, -107]]
(D, 6)[0] => [[108, -109], [108, -108]]
(D, 6)[0] => [[108, -110], [108, -109]]
(D, 6)[0] => [[108, -111], [108, -110]]
(D, 6)[0] => [[108, -112], [108, -111]]
(D, 6)[0] => [[108, -113], [108, -112]]
(R, 2)[0] => [[109, -113], [108, -112]]
(R, 2)[0] => [[110, -113], [109, -113]]
(D, 7)[0] => [[110, -114], [109, -113]]
(D, 7)[0] => [[110, -115], [110, -114]]
(D, 7)[0] => [[110, -116], [110, -115]]
(D, 7)[0] => [[110, -117], [110, -116]]
(D, 7)[0] => [[110, -118], [110, -117]]
(D, 7)[0] => [[110, -119], [110, -118]]
(D, 7)[0] => [[110, -120], [110, -119]]
(L, 3)[0] => [[109, -120], [110, -119]]
(L, 3)[0] => [[108, -120], [109, -120]]
(L, 3)[0] => [[107, -120], [108, -120]]
(U, 1)[0] => [[107, -119], [108, -120]]
(R, 1)[0] => [[108, -119], [108, -120]]
(D, 3)[0] => [[108, -120], [108, -120]]
(D, 3)[0] => [[108, -121], [108, -120]]
(D, 3)[0] => [[108, -122], [108, -121]]
(U, 10)[0] => [[108, -121], [108, -121]]
(U, 10)[0] => [[108, -120], [108, -121]]
(U, 10)[0] => [[108, -119], [108, -120]]
(U, 10)[0] => [[108, -118], [108, -119]]
(U, 10)[0] => [[108, -117], [108, -118]]
(U, 10)[0] => [[108, -116], [108, -117]]
(U, 10)[0] => [[108, -115], [108, -116]]
(U, 10)[0] => [[108, -114], [108, -115]]
(U, 10)[0] => [[108, -113], [108, -114]]
(U, 10)[0] => [[108, -112], [108, -113]]
(R, 2)[0] => [[109, -112], [108, -113]]
(R, 2)[0] => [[110, -112], [109, -112]]
(L, 3)[0] => [[109, -112], [109, -112]]
(L, 3)[0] => [[108, -112], [109, -112]]
(L, 3)[0] => [[107, -112], [108, -112]]
(U, 4)[0] => [[107, -111], [108, -112]]
(U, 4)[0] => [[107, -110], [107, -111]]
(U, 4)[0] => [[107, -109], [107, -110]]
(U, 4)[0] => [[107, -108], [107, -109]]
(R, 6)[0] => [[108, -108], [107, -109]]
(R, 6)[0] => [[109, -108], [108, -108]]
(R, 6)[0] => [[110, -108], [109, -108]]
(R, 6)[0] => [[111, -108], [110, -108]]
(R, 6)[0] => [[112, -108], [111, -108]]
(R, 6)[0] => [[113, -108], [112, -108]]
(U, 1)[0] => [[113, -107], [112, -108]]
(R, 10)[0] => [[114, -107], [113, -107]]
(R, 10)[0] => [[115, -107], [114, -107]]
(R, 10)[0] => [[116, -107], [115, -107]]
(R, 10)[0] => [[117, -107], [116, -107]]
(R, 10)[0] => [[118, -107], [117, -107]]
(R, 10)[0] => [[119, -107], [118, -107]]
(R, 10)[0] => [[120, -107], [119, -107]]
(R, 10)[0] => [[121, -107], [120, -107]]
(R, 10)[0] => [[122, -107], [121, -107]]
(R, 10)[0] => [[123, -107], [122, -107]]
(L, 4)[0] => [[122, -107], [122, -107]]
(L, 4)[0] => [[121, -107], [122, -107]]
(L, 4)[0] => [[120, -107], [121, -107]]
(L, 4)[0] => [[119, -107], [120, -107]]
(D, 3)[0] => [[119, -108], [120, -107]]
(D, 3)[0] => [[119, -109], [119, -108]]
(D, 3)[0] => [[119, -110], [119, -109]]
(U, 9)[0] => [[119, -109], [119, -109]]
(U, 9)[0] => [[119, -108], [119, -109]]
(U, 9)[0] => [[119, -107], [119, -108]]
(U, 9)[0] => [[119, -106], [119, -107]]
(U, 9)[0] => [[119, -105], [119, -106]]
(U, 9)[0] => [[119, -104], [119, -105]]
(U, 9)[0] => [[119, -103], [119, -104]]
(U, 9)[0] => [[119, -102], [119, -103]]
(U, 9)[0] => [[119, -101], [119, -102]]
(R, 8)[0] => [[120, -101], [119, -102]]
(R, 8)[0] => [[121, -101], [120, -101]]
(R, 8)[0] => [[122, -101], [121, -101]]
(R, 8)[0] => [[123, -101], [122, -101]]
(R, 8)[0] => [[124, -101], [123, -101]]
(R, 8)[0] => [[125, -101], [124, -101]]
(R, 8)[0] => [[126, -101], [125, -101]]
(R, 8)[0] => [[127, -101], [126, -101]]
(L, 7)[0] => [[126, -101], [126, -101]]
(L, 7)[0] => [[125, -101], [126, -101]]
(L, 7)[0] => [[124, -101], [125, -101]]
(L, 7)[0] => [[123, -101], [124, -101]]
(L, 7)[0] => [[122, -101], [123, -101]]
(L, 7)[0] => [[121, -101], [122, -101]]
(L, 7)[0] => [[120, -101], [121, -101]]
(U, 7)[0] => [[120, -100], [121, -101]]
(U, 7)[0] => [[120, -99], [120, -100]]
(U, 7)[0] => [[120, -98], [120, -99]]
(U, 7)[0] => [[120, -97], [120, -98]]
(U, 7)[0] => [[120, -96], [120, -97]]
(U, 7)[0] => [[120, -95], [120, -96]]
(U, 7)[0] => [[120, -94], [120, -95]]
(D, 5)[0] => [[120, -95], [120, -95]]
(D, 5)[0] => [[120, -96], [120, -95]]
(D, 5)[0] => [[120, -97], [120, -96]]
(D, 5)[0] => [[120, -98], [120, -97]]
(D, 5)[0] => [[120, -99], [120, -98]]
(U, 5)[0] => [[120, -98], [120, -98]]
(U, 5)[0] => [[120, -97], [120, -98]]
(U, 5)[0] => [[120, -96], [120, -97]]
(U, 5)[0] => [[120, -95], [120, -96]]
(U, 5)[0] => [[120, -94], [120, -95]]
(D, 5)[0] => [[120, -95], [120, -95]]
(D, 5)[0] => [[120, -96], [120, -95]]
(D, 5)[0] => [[120, -97], [120, -96]]
(D, 5)[0] => [[120, -98], [120, -97]]
(D, 5)[0] => [[120, -99], [120, -98]]
(L, 1)[0] => [[119, -99], [120, -98]]
(U, 9)[0] => [[119, -98], [120, -98]]
(U, 9)[0] => [[119, -97], [120, -98]]
(U, 9)[0] => [[119, -96], [119, -97]]
(U, 9)[0] => [[119, -95], [119, -96]]
(U, 9)[0] => [[119, -94], [119, -95]]
(U, 9)[0] => [[119, -93], [119, -94]]
(U, 9)[0] => [[119, -92], [119, -93]]
(U, 9)[0] => [[119, -91], [119, -92]]
(U, 9)[0] => [[119, -90], [119, -91]]
(R, 10)[0] => [[120, -90], [119, -91]]
(R, 10)[0] => [[121, -90], [120, -90]]
(R, 10)[0] => [[122, -90], [121, -90]]
(R, 10)[0] => [[123, -90], [122, -90]]
(R, 10)[0] => [[124, -90], [123, -90]]
(R, 10)[0] => [[125, -90], [124, -90]]
(R, 10)[0] => [[126, -90], [125, -90]]
(R, 10)[0] => [[127, -90], [126, -90]]
(R, 10)[0] => [[128, -90], [127, -90]]
(R, 10)[0] => [[129, -90], [128, -90]]
(L, 9)[0] => [[128, -90], [128, -90]]
(L, 9)[0] => [[127, -90], [128, -90]]
(L, 9)[0] => [[126, -90], [127, -90]]
(L, 9)[0] => [[125, -90], [126, -90]]
(L, 9)[0] => [[124, -90], [125, -90]]
(L, 9)[0] => [[123, -90], [124, -90]]
(L, 9)[0] => [[122, -90], [123, -90]]
(L, 9)[0] => [[121, -90], [122, -90]]
(L, 9)[0] => [[120, -90], [121, -90]]
(D, 1)[0] => [[120, -91], [121, -90]]
(L, 1)[0] => [[119, -91], [120, -91]]
(R, 4)[0] => [[120, -91], [120, -91]]
(R, 4)[0] => [[121, -91], [120, -91]]
(R, 4)[0] => [[122, -91], [121, -91]]
(R, 4)[0] => [[123, -91], [122, -91]]
(L, 6)[0] => [[122, -91], [122, -91]]
(L, 6)[0] => [[121, -91], [122, -91]]
(L, 6)[0] => [[120, -91], [121, -91]]
(L, 6)[0] => [[119, -91], [120, -91]]
(L, 6)[0] => [[118, -91], [119, -91]]
(L, 6)[0] => [[117, -91], [118, -91]]
(R, 9)[0] => [[118, -91], [118, -91]]
(R, 9)[0] => [[119, -91], [118, -91]]
(R, 9)[0] => [[120, -91], [119, -91]]
(R, 9)[0] => [[121, -91], [120, -91]]
(R, 9)[0] => [[122, -91], [121, -91]]
(R, 9)[0] => [[123, -91], [122, -91]]
(R, 9)[0] => [[124, -91], [123, -91]]
(R, 9)[0] => [[125, -91], [124, -91]]
(R, 9)[0] => [[126, -91], [125, -91]]
(U, 4)[0] => [[126, -90], [125, -91]]
(U, 4)[0] => [[126, -89], [126, -90]]
(U, 4)[0] => [[126, -88], [126, -89]]
(U, 4)[0] => [[126, -87], [126, -88]]
(D, 8)[0] => [[126, -88], [126, -88]]
(D, 8)[0] => [[126, -89], [126, -88]]
(D, 8)[0] => [[126, -90], [126, -89]]
(D, 8)[0] => [[126, -91], [126, -90]]
(D, 8)[0] => [[126, -92], [126, -91]]
(D, 8)[0] => [[126, -93], [126, -92]]
(D, 8)[0] => [[126, -94], [126, -93]]
(D, 8)[0] => [[126, -95], [126, -94]]
(U, 9)[0] => [[126, -94], [126, -94]]
(U, 9)[0] => [[126, -93], [126, -94]]
(U, 9)[0] => [[126, -92], [126, -93]]
(U, 9)[0] => [[126, -91], [126, -92]]
(U, 9)[0] => [[126, -90], [126, -91]]
(U, 9)[0] => [[126, -89], [126, -90]]
(U, 9)[0] => [[126, -88], [126, -89]]
(U, 9)[0] => [[126, -87], [126, -88]]
(U, 9)[0] => [[126, -86], [126, -87]]
(R, 9)[0] => [[127, -86], [126, -87]]
(R, 9)[0] => [[128, -86], [127, -86]]
(R, 9)[0] => [[129, -86], [128, -86]]
(R, 9)[0] => [[130, -86], [129, -86]]
(R, 9)[0] => [[131, -86], [130, -86]]
(R, 9)[0] => [[132, -86], [131, -86]]
(R, 9)[0] => [[133, -86], [132, -86]]
(R, 9)[0] => [[134, -86], [133, -86]]
(R, 9)[0] => [[135, -86], [134, -86]]
(U, 7)[0] => [[135, -85], [134, -86]]
(U, 7)[0] => [[135, -84], [135, -85]]
(U, 7)[0] => [[135, -83], [135, -84]]
(U, 7)[0] => [[135, -82], [135, -83]]
(U, 7)[0] => [[135, -81], [135, -82]]
(U, 7)[0] => [[135, -80], [135, -81]]
(U, 7)[0] => [[135, -79], [135, -80]]
(R, 8)[0] => [[136, -79], [135, -80]]
(R, 8)[0] => [[137, -79], [136, -79]]
(R, 8)[0] => [[138, -79], [137, -79]]
(R, 8)[0] => [[139, -79], [138, -79]]
(R, 8)[0] => [[140, -79], [139, -79]]
(R, 8)[0] => [[141, -79], [140, -79]]
(R, 8)[0] => [[142, -79], [141, -79]]
(R, 8)[0] => [[143, -79], [142, -79]]
(U, 1)[0] => [[143, -78], [142, -79]]
(L, 9)[0] => [[142, -78], [142, -79]]
(L, 9)[0] => [[141, -78], [142, -79]]
(L, 9)[0] => [[140, -78], [141, -78]]
(L, 9)[0] => [[139, -78], [140, -78]]
(L, 9)[0] => [[138, -78], [139, -78]]
(L, 9)[0] => [[137, -78], [138, -78]]
(L, 9)[0] => [[136, -78], [137, -78]]
(L, 9)[0] => [[135, -78], [136, -78]]
(L, 9)[0] => [[134, -78], [135, -78]]
(D, 3)[0] => [[134, -79], [135, -78]]
(D, 3)[0] => [[134, -80], [134, -79]]
(D, 3)[0] => [[134, -81], [134, -80]]
(L, 1)[0] => [[133, -81], [134, -80]]
(U, 3)[0] => [[133, -80], [134, -80]]
(U, 3)[0] => [[133, -79], [134, -80]]
(U, 3)[0] => [[133, -78], [133, -79]]
(D, 10)[0] => [[133, -79], [133, -79]]
(D, 10)[0] => [[133, -80], [133, -79]]
(D, 10)[0] => [[133, -81], [133, -80]]
(D, 10)[0] => [[133, -82], [133, -81]]
(D, 10)[0] => [[133, -83], [133, -82]]
(D, 10)[0] => [[133, -84], [133, -83]]
(D, 10)[0] => [[133, -85], [133, -84]]
(D, 10)[0] => [[133, -86], [133, -85]]
(D, 10)[0] => [[133, -87], [133, -86]]
(D, 10)[0] => [[133, -88], [133, -87]]
(U, 8)[0] => [[133, -87], [133, -87]]
(U, 8)[0] => [[133, -86], [133, -87]]
(U, 8)[0] => [[133, -85], [133, -86]]
(U, 8)[0] => [[133, -84], [133, -85]]
(U, 8)[0] => [[133, -83], [133, -84]]
(U, 8)[0] => [[133, -82], [133, -83]]
(U, 8)[0] => [[133, -81], [133, -82]]
(U, 8)[0] => [[133, -80], [133, -81]]
(D, 5)[0] => [[133, -81], [133, -81]]
(D, 5)[0] => [[133, -82], [133, -81]]
(D, 5)[0] => [[133, -83], [133, -82]]
(D, 5)[0] => [[133, -84], [133, -83]]
(D, 5)[0] => [[133, -85], [133, -84]]
(L, 3)[0] => [[132, -85], [133, -84]]
(L, 3)[0] => [[131, -85], [132, -85]]
(L, 3)[0] => [[130, -85], [131, -85]]
(R, 4)[0] => [[131, -85], [131, -85]]
(R, 4)[0] => [[132, -85], [131, -85]]
(R, 4)[0] => [[133, -85], [132, -85]]
(R, 4)[0] => [[134, -85], [133, -85]]
(D, 4)[0] => [[134, -86], [133, -85]]
(D, 4)[0] => [[134, -87], [134, -86]]
(D, 4)[0] => [[134, -88], [134, -87]]
(D, 4)[0] => [[134, -89], [134, -88]]
(R, 1)[0] => [[135, -89], [134, -88]]
(D, 1)[0] => [[135, -90], [135, -89]]
(R, 3)[0] => [[136, -90], [135, -89]]
(R, 3)[0] => [[137, -90], [136, -90]]
(R, 3)[0] => [[138, -90], [137, -90]]
(L, 6)[0] => [[137, -90], [137, -90]]
(L, 6)[0] => [[136, -90], [137, -90]]
(L, 6)[0] => [[135, -90], [136, -90]]
(L, 6)[0] => [[134, -90], [135, -90]]
(L, 6)[0] => [[133, -90], [134, -90]]
(L, 6)[0] => [[132, -90], [133, -90]]
(R, 7)[0] => [[133, -90], [133, -90]]
(R, 7)[0] => [[134, -90], [133, -90]]
(R, 7)[0] => [[135, -90], [134, -90]]
(R, 7)[0] => [[136, -90], [135, -90]]
(R, 7)[0] => [[137, -90], [136, -90]]
(R, 7)[0] => [[138, -90], [137, -90]]
(R, 7)[0] => [[139, -90], [138, -90]]
(D, 7)[0] => [[139, -91], [138, -90]]
(D, 7)[0] => [[139, -92], [139, -91]]
(D, 7)[0] => [[139, -93], [139, -92]]
(D, 7)[0] => [[139, -94], [139, -93]]
(D, 7)[0] => [[139, -95], [139, -94]]
(D, 7)[0] => [[139, -96], [139, -95]]
(D, 7)[0] => [[139, -97], [139, -96]]
(R, 8)[0] => [[140, -97], [139, -96]]
(R, 8)[0] => [[141, -97], [140, -97]]
(R, 8)[0] => [[142, -97], [141, -97]]
(R, 8)[0] => [[143, -97], [142, -97]]
(R, 8)[0] => [[144, -97], [143, -97]]
(R, 8)[0] => [[145, -97], [144, -97]]
(R, 8)[0] => [[146, -97], [145, -97]]
(R, 8)[0] => [[147, -97], [146, -97]]
(L, 4)[0] => [[146, -97], [146, -97]]
(L, 4)[0] => [[145, -97], [146, -97]]
(L, 4)[0] => [[144, -97], [145, -97]]
(L, 4)[0] => [[143, -97], [144, -97]]
(D, 4)[0] => [[143, -98], [144, -97]]
(D, 4)[0] => [[143, -99], [143, -98]]
(D, 4)[0] => [[143, -100], [143, -99]]
(D, 4)[0] => [[143, -101], [143, -100]]
(U, 1)[0] => [[143, -100], [143, -100]]
(D, 9)[0] => [[143, -101], [143, -100]]
(D, 9)[0] => [[143, -102], [143, -101]]
(D, 9)[0] => [[143, -103], [143, -102]]
(D, 9)[0] => [[143, -104], [143, -103]]
(D, 9)[0] => [[143, -105], [143, -104]]
(D, 9)[0] => [[143, -106], [143, -105]]
(D, 9)[0] => [[143, -107], [143, -106]]
(D, 9)[0] => [[143, -108], [143, -107]]
(D, 9)[0] => [[143, -109], [143, -108]]
(R, 2)[0] => [[144, -109], [143, -108]]
(R, 2)[0] => [[145, -109], [144, -109]]
(L, 10)[0] => [[144, -109], [144, -109]]
(L, 10)[0] => [[143, -109], [144, -109]]
(L, 10)[0] => [[142, -109], [143, -109]]
(L, 10)[0] => [[141, -109], [142, -109]]
(L, 10)[0] => [[140, -109], [141, -109]]
(L, 10)[0] => [[139, -109], [140, -109]]
(L, 10)[0] => [[138, -109], [139, -109]]
(L, 10)[0] => [[137, -109], [138, -109]]
(L, 10)[0] => [[136, -109], [137, -109]]
(L, 10)[0] => [[135, -109], [136, -109]]
(R, 8)[0] => [[136, -109], [136, -109]]
(R, 8)[0] => [[137, -109], [136, -109]]
(R, 8)[0] => [[138, -109], [137, -109]]
(R, 8)[0] => [[139, -109], [138, -109]]
(R, 8)[0] => [[140, -109], [139, -109]]
(R, 8)[0] => [[141, -109], [140, -109]]
(R, 8)[0] => [[142, -109], [141, -109]]
(R, 8)[0] => [[143, -109], [142, -109]]
(L, 9)[0] => [[142, -109], [142, -109]]
(L, 9)[0] => [[141, -109], [142, -109]]
(L, 9)[0] => [[140, -109], [141, -109]]
(L, 9)[0] => [[139, -109], [140, -109]]
(L, 9)[0] => [[138, -109], [139, -109]]
(L, 9)[0] => [[137, -109], [138, -109]]
(L, 9)[0] => [[136, -109], [137, -109]]
(L, 9)[0] => [[135, -109], [136, -109]]
(L, 9)[0] => [[134, -109], [135, -109]]
(D, 6)[0] => [[134, -110], [135, -109]]
(D, 6)[0] => [[134, -111], [134, -110]]
(D, 6)[0] => [[134, -112], [134, -111]]
(D, 6)[0] => [[134, -113], [134, -112]]
(D, 6)[0] => [[134, -114], [134, -113]]
(D, 6)[0] => [[134, -115], [134, -114]]
(R, 1)[0] => [[135, -115], [134, -114]]
(D, 2)[0] => [[135, -116], [135, -115]]
(D, 2)[0] => [[135, -117], [135, -116]]
(L, 7)[0] => [[134, -117], [135, -116]]
(L, 7)[0] => [[133, -117], [134, -117]]
(L, 7)[0] => [[132, -117], [133, -117]]
(L, 7)[0] => [[131, -117], [132, -117]]
(L, 7)[0] => [[130, -117], [131, -117]]
(L, 7)[0] => [[129, -117], [130, -117]]
(L, 7)[0] => [[128, -117], [129, -117]]
(D, 6)[0] => [[128, -118], [129, -117]]
(D, 6)[0] => [[128, -119], [128, -118]]
(D, 6)[0] => [[128, -120], [128, -119]]
(D, 6)[0] => [[128, -121], [128, -120]]
(D, 6)[0] => [[128, -122], [128, -121]]
(D, 6)[0] => [[128, -123], [128, -122]]
(U, 9)[0] => [[128, -122], [128, -122]]
(U, 9)[0] => [[128, -121], [128, -122]]
(U, 9)[0] => [[128, -120], [128, -121]]
(U, 9)[0] => [[128, -119], [128, -120]]
(U, 9)[0] => [[128, -118], [128, -119]]
(U, 9)[0] => [[128, -117], [128, -118]]
(U, 9)[0] => [[128, -116], [128, -117]]
(U, 9)[0] => [[128, -115], [128, -116]]
(U, 9)[0] => [[128, -114], [128, -115]]
(D, 9)[0] => [[128, -115], [128, -115]]
(D, 9)[0] => [[128, -116], [128, -115]]
(D, 9)[0] => [[128, -117], [128, -116]]
(D, 9)[0] => [[128, -118], [128, -117]]
(D, 9)[0] => [[128, -119], [128, -118]]
(D, 9)[0] => [[128, -120], [128, -119]]
(D, 9)[0] => [[128, -121], [128, -120]]
(D, 9)[0] => [[128, -122], [128, -121]]
(D, 9)[0] => [[128, -123], [128, -122]]
(R, 2)[0] => [[129, -123], [128, -122]]
(R, 2)[0] => [[130, -123], [129, -123]]
(D, 5)[0] => [[130, -124], [129, -123]]
(D, 5)[0] => [[130, -125], [130, -124]]
(D, 5)[0] => [[130, -126], [130, -125]]
(D, 5)[0] => [[130, -127], [130, -126]]
(D, 5)[0] => [[130, -128], [130, -127]]
(L, 4)[0] => [[129, -128], [130, -127]]
(L, 4)[0] => [[128, -128], [129, -128]]
(L, 4)[0] => [[127, -128], [128, -128]]
(L, 4)[0] => [[126, -128], [127, -128]]
(U, 3)[0] => [[126, -127], [127, -128]]
(U, 3)[0] => [[126, -126], [126, -127]]
(U, 3)[0] => [[126, -125], [126, -126]]
(L, 1)[0] => [[125, -125], [126, -126]]
(R, 4)[0] => [[126, -125], [126, -126]]
(R, 4)[0] => [[127, -125], [126, -126]]
(R, 4)[0] => [[128, -125], [127, -125]]
(R, 4)[0] => [[129, -125], [128, -125]]
(L, 8)[0] => [[128, -125], [128, -125]]
(L, 8)[0] => [[127, -125], [128, -125]]
(L, 8)[0] => [[126, -125], [127, -125]]
(L, 8)[0] => [[125, -125], [126, -125]]
(L, 8)[0] => [[124, -125], [125, -125]]
(L, 8)[0] => [[123, -125], [124, -125]]
(L, 8)[0] => [[122, -125], [123, -125]]
(L, 8)[0] => [[121, -125], [122, -125]]
(D, 4)[0] => [[121, -126], [122, -125]]
(D, 4)[0] => [[121, -127], [121, -126]]
(D, 4)[0] => [[121, -128], [121, -127]]
(D, 4)[0] => [[121, -129], [121, -128]]
(L, 2)[0] => [[120, -129], [121, -128]]
(L, 2)[0] => [[119, -129], [120, -129]]
(D, 2)[0] => [[119, -130], [120, -129]]
(D, 2)[0] => [[119, -131], [119, -130]]
(R, 11)[0] => [[120, -131], [119, -130]]
(R, 11)[0] => [[121, -131], [120, -131]]
(R, 11)[0] => [[122, -131], [121, -131]]
(R, 11)[0] => [[123, -131], [122, -131]]
(R, 11)[0] => [[124, -131], [123, -131]]
(R, 11)[0] => [[125, -131], [124, -131]]
(R, 11)[0] => [[126, -131], [125, -131]]
(R, 11)[0] => [[127, -131], [126, -131]]
(R, 11)[0] => [[128, -131], [127, -131]]
(R, 11)[0] => [[129, -131], [128, -131]]
(R, 11)[0] => [[130, -131], [129, -131]]
(D, 3)[0] => [[130, -132], [129, -131]]
(D, 3)[0] => [[130, -133], [130, -132]]
(D, 3)[0] => [[130, -134], [130, -133]]
(R, 2)[0] => [[131, -134], [130, -133]]
(R, 2)[0] => [[132, -134], [131, -134]]
(U, 8)[0] => [[132, -133], [131, -134]]
(U, 8)[0] => [[132, -132], [132, -133]]
(U, 8)[0] => [[132, -131], [132, -132]]
(U, 8)[0] => [[132, -130], [132, -131]]
(U, 8)[0] => [[132, -129], [132, -130]]
(U, 8)[0] => [[132, -128], [132, -129]]
(U, 8)[0] => [[132, -127], [132, -128]]
(U, 8)[0] => [[132, -126], [132, -127]]
(L, 8)[0] => [[131, -126], [132, -127]]
(L, 8)[0] => [[130, -126], [131, -126]]
(L, 8)[0] => [[129, -126], [130, -126]]
(L, 8)[0] => [[128, -126], [129, -126]]
(L, 8)[0] => [[127, -126], [128, -126]]
(L, 8)[0] => [[126, -126], [127, -126]]
(L, 8)[0] => [[125, -126], [126, -126]]
(L, 8)[0] => [[124, -126], [125, -126]]
(D, 8)[0] => [[124, -127], [125, -126]]
(D, 8)[0] => [[124, -128], [124, -127]]
(D, 8)[0] => [[124, -129], [124, -128]]
(D, 8)[0] => [[124, -130], [124, -129]]
(D, 8)[0] => [[124, -131], [124, -130]]
(D, 8)[0] => [[124, -132], [124, -131]]
(D, 8)[0] => [[124, -133], [124, -132]]
(D, 8)[0] => [[124, -134], [124, -133]]
(R, 7)[0] => [[125, -134], [124, -133]]
(R, 7)[0] => [[126, -134], [125, -134]]
(R, 7)[0] => [[127, -134], [126, -134]]
(R, 7)[0] => [[128, -134], [127, -134]]
